#,"Hello, what is your gender? （性别？）",Where are you from? （你来自世界上的哪里？）,What's your job? Where do you work? (Choose the one that best describes you) （你的工作？选一个最贴切的）,Do you know about Tower Defense Games? （你知道塔防游戏吗？）,How often do you play Tower Defense Games? （多久玩一次塔防游戏？）,"Of the tower defence games you like, what game(s) did you like? （塔防游戏中，你最喜欢哪个？）",How difficult would you like a tower defence game to be? （你喜欢哪种游戏难度？）,Cute & cartoon (卡通可爱）,War-related （战争相关）,Zombie （僵尸）,Educational （教育）,Abstract （抽象）,Others （其他）,Maths （数学）,English （英语）,Other languages （其他语种）,Science （科学）,History （历史）,Literature （文学）,Music （音乐）,I don't like educational theme （不喜欢教育主题）,"Of the tower defence games you have played, what improvements would you like to see? （你对塔防游戏有什么改进建议？）",Start Date (UTC),Submit Date (UTC),Network ID
ywtewt987uyfj1m1ywtew0t1y23dj8s6,Female （女）,Europe （欧洲）,Student （学生）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Seldom （从不）,,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,War-related （战争相关）,,,,,Maths （数学）,,Other languages （其他语种）,,,,,,"Ability to speed up attacks if there is a level system, so you dont have to wait for the attack and defense to play out",2021-11-30 16:32:31,2021-11-30 16:35:34,8bbb94824d
tx4osjg8nb840xvwtx43epsisnew9vb2,Male （男）,Europe （欧洲）,Experienced programmer / Game industry （资深程序员/游戏行业）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Seldom （从不）,None I can remember,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,,,,Abstract （抽象）,,Maths （数学）,English （英语）,Other languages （其他语种）,Science （科学）,History （历史）,Literature （文学）,Music （音乐）,,I have very little experience of them,2021-11-30 14:59:49,2021-11-30 15:02:53,32d25e2d15
peuu021bjbumfpeuugna719vjx7fvfyz,Female （女）,Asia （亚洲）,Student （学生）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Seldom （从不）,plants vs zombies,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,War-related （战争相关）,,,,,,,,,,,,I don't like educational theme （不喜欢教育主题）,skin customization,2021-11-30 11:48:19,2021-11-30 11:49:15,b32197371e
qw8pehko7z6sq3mx4ftznrqw8pefn68c,Female （女）,Asia （亚洲）,Education （教育）,"No, I've never played it before. （不知道，没玩过）",Seldom （从不）,,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,,,,,,Maths （数学）,English （英语）,,,,,Music （音乐）,,Never played,2021-11-30 11:38:13,2021-11-30 11:39:49,f422d92906
513yboyz2fy50i0513ybo5yyuw47dny4,Male （男）,Europe （欧洲）,IT related （信息技术）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Seldom （从不）,Epic war 2,Tough but fair （难，但有道理）,,War-related （战争相关）,,,,,,,,,History （历史）,,,,More levels,2021-11-30 10:48:37,2021-11-30 11:00:30,3cdc12ad74
8zrg43tf9byf649cdw8zrg43tkqathmm,Female （女）,Asia （亚洲）,Student （学生）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",2~3 times a week （一周两三次）,arknights,Tough but fair （难，但有道理）,,,,,Abstract （抽象）,,,,Other languages （其他语种）,,,,,,more fair less grind,2021-11-30 09:41:44,2021-11-30 09:44:48,ddd723e33f
goj641zg0zropaihgojaukagfuv376w3,Male （男）,Africa （非洲）,Experienced programmer / Game industry （资深程序员/游戏行业）,"Somewhat, I've played Plants vs. Zombies, but don't know the name of the game category. （知道一点，玩过植物大战僵尸/保卫萝卜，但不知道这个种类的游戏叫啥）",Seldom （从不）,Assassin's creed Revelation's Tower Defense,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,War-related （战争相关）,Zombie （僵尸）,Educational （教育）,,,,,Other languages （其他语种）,Science （科学）,History （历史）,Literature （文学）,Music （音乐）,,Naming squads or troops ability,2021-11-30 08:49:05,2021-11-30 08:59:11,f71efd0233
kpmjicd21kgaf8h6kpmjv65j53zp04jw,Male （男）,Europe （欧洲）,Experienced programmer / Game industry （资深程序员/游戏行业）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Seldom （从不）,Orcs Must Die 2,Like Dark Souls with your toes （地狱难度）,,War-related （战争相关）,,,,Others （其他）,,,,,,,,I don't like educational theme （不喜欢教育主题）,Bigger freedom for enemy's movement,2021-11-30 08:29:52,2021-11-30 08:34:20,51647115cd
fd7nvrfnyycloi68ht8vsfd7nvwlp2hr,Male （男）,Asia （亚洲）,IT related （信息技术）,"Yes, it's just building towers and then defense the base camp from enemies' attacks. （知道，就是为大本营筑炮塔抵御敌人的攻击）",Once a month （一个月一次）,Defender III,Tough but fair （难，但有道理）,Cute & cartoon (卡通可爱）,,,Educational （教育）,Abstract （抽象）,,Maths （数学）,,,Science （科学）,,,Music （音乐）,,More skills and magic,2021-11-30 08:26:15,2021-11-30 08:30:57,cc4e270e77
pac1o144yaw4mo84bh0opacmslj6fd0q,Female （女）,Europe （欧洲）,Others （其他）,"No, I've never played it before. （不知道，没玩过）",Seldom （从不）,"Nonogram, Zen Match",Tough but fair （难，但有道理）,,,,Educational （教育）,Abstract （抽象）,,Maths （数学）,,,,History （历史）,,,,'--,2021-11-30 08:26:43,2021-11-30 08:28:33,89cd609e02
